"Company","Position_Title","Review_Title","Cons","Pros","Review_Date","C_F_Employee"
"Apple","Software Developer","Job","You need to spend a lot of time","All good about apple working as an intern","Nov 5, 2022","Current"
"Apple","Software Engineer","Alright","Boring technology, office politics, no remote","Good team, working on cool products","Oct 5, 2022","Current"
"Apple","Site Reliability Engineer","Frustrating workplace with little consistent direction","Ancient technology stack that will leave your technical skills in atrophy.
Lack of uniform direction or leadership in the company, the amount of pivoting makes it difficult to accomplish anything longterm.
Huge expectation differences between SREs and developers with regard to best practices.
Complete lack of remote work flexibility, all employees must be in overcrowded offices most days of the week leading to lack of parking, long lines for bathrooms and cafeteria, no conference room availability, and cramped workspaces","Lots of benefits
mostly nice people working there","Sep 16, 2022","Current"
"Apple","Front End Developer","good","overloading
not organized
hard task
no time to rest
no vacation","co-work
smoothly 
good partner
good
friendly","Sep 9, 2022","Current"
"Apple","AI/ML Annotation Analyst","Like working at a call-center, inhumane and poorly paid","Incapable terrible management!! performative ""caring"" about their employees, POORLY PAID (almost the same than a Wal-Mart cashier), no remote work, offices are meh (NOTHING special), you'll be timed as a robot, lack of efficient communication, the job is honestly unhealthy and almost inhumane. Discounts on Apple products are poor. It's an awful unfulfilling job that requires no thinking but a lot of doing.","When you say ""I work at Apple"" people think it's cool. Time off between Xmas Eve and New Year. Stock benefits (if you have the $ to buy stock, because they pay SO bad you most likely won't even be able to use this benefit if you live in San Diego.","Jun 8, 2022","Current"
"Apple","IOS App Reviewer","IOS App Reviewer","The management is lack of empathy and extremely conservative, they typically try to make its employees feel small and give no consideration in their wellbeing.","well, it's a job that provides paychecks.","Apr 9, 2022","Current"
"Apple","Senior Software Engineer","Sweatshop mentality","- abominable management from top to bottom
- if you ever wanted to experience the Soviet socio-economic model get a job here","- decent food in the cafeteria","Feb 4, 2022","Current"
"Apple","Senior Software Engineer","No Work & Life Balance","Working long hours and no work and life balance is a toxic culture of Apple","This company has been great things going and nice benefits. The team that you end up with can determine if it is an enjoyable experience or one you never wish to return to.","Jan 30, 2022","Former"
"Apple","Software Engineer","Not Recommended","Good architecture and good food","Too much drama within the company","Jan 18, 2022","Former"
"Apple","Engineer","Bad","Everything is bad and they care only about money","No pros everything is bad","Dec 18, 2021","Current"
"Apple","Software Engineer","Ok","Bad work life balance and closed culture","Company name and ok refreshers","Dec 5, 2021","Current"
"Apple","Mechanical Engineer","Good talent, poor leadership","Apple selects poor managers to lead talented teams.","You get to work with the best talent in the world.","Nov 28, 2021","Current"
"Apple","Senior Software Engineer","No Remote option","Beware : hybrid is a sham. No remote option here. With this kind of decision making the company has no good future.","Average bay area pay range.","Nov 25, 2021","Current"
"Apple","Senior Software Engineer","don't go","De-humanizing, Soul sucking, and surprisingly messy","Great perks, really smart coworkers and managers","Oct 21, 2021","Current"
"Apple","Software Engineer","High pressure, no WLB company","Company works the employees like machines. Basically have to be on call 24/7. Honestly can’t tell the difference between apple and Amazon anymore. Yes we get paid a lot, but we are getting paid for 40 hours a week but can rarely work for just 40 hours a week. I lost so much hair from all the stress and late nights. People are basically slaves of the products. Honestly, avoid if possible. Take a job somewhere else with less pay but great WLB.","Some good health insurance benefits.","Sep 15, 2021","Former"
"Apple","Staff Software Engineer","Boring place to be a SWE","You can buy a company T-shirt for $40.","Great place to work if you never want to know what's going on and have zero cross team visibility.","Sep 13, 2021","Current"
"Apple","Site Reliability Engineer","Company with zero empathy and engineering best practices","If you’re a software engineer this isn’t a place to be. The work life balance is not existent for very bad reasons. That’s only because you won’t be able to use or build tools that can make your life easier. 

The over culture is very bureaucratic and there’s literally no check on the bad managers. In my experience they don’t care about teams success and there interests lie elsewhere. Few of them are downright psychotic - foster toxic environment, bullying, threatening, etcetera. 

Very, very hard to move internally. You have to let you current manager know before you make a contact with the future Hiring managers. The toxic managers may block your move if you don’t play ball despite having good reviews.

The benefits are awful as compared to other large tech companies. Heck even start-ups! You get 11 days PTO for working the whole year. They do have Christmas shutdown but everyone is forced to work to hit the deadlines that follow after the shutdown.","Name. Pay (if you negotiate well and have competing offers from companies like Facebook, google, etc. Apple discounts. Stable and promising stock.","Aug 30, 2021","Former"
"Apple","Software Developer","not good for work","too busy in work place","good place for work place","Aug 29, 2021","Current"
"Apple","Hardware Engineer","Bad management , poor planning and quality of work","No work life balance. 
Managers don’t care about employees work satisfaction. Most people you work with here are extremely arrogant because of the brand and founder reputation even though they are not the smartest kind . Mediocre work and salaries. No one cares about your career growth or your well-being , all they care is you keep the labor on . 
Many folks esp. those who have stayed here for most part of their career would tell you that this is the ‘ultimate place to work’ , but they have been brainwashed over the years and have been made to believe that their work is central to the uplifting of human race. They slog without complain , few don’t buy into this and quit quietly . 
PS: My opinion and experience only","Brand name
Company stock has been promising so far","Jun 7, 2021","Former"
"Apple","Engineering Manager","Not that great to work","Inexperienced management team and also most of the employees are rude and arrogant","Money and RSU are good well was when share prices is low","Jun 3, 2021","Former"
"Apple","Senior Software Engineer","Toxic work environment","Toxic work environment due to racism, bro culture and lack of transparency related to the decisions that impact employee's work.","Stock price growth is the main reason to work here.","May 30, 2021","Former"
"Apple","Software QA Engineer IV","Overall good but really depends on the management team","Specific management teams that are misaligned with the mission and don’t know how to grow their teams","The brand, the mission and the work","May 15, 2021","Former"
"Apple","Senior Software Engineer","Terrible company to work in.","poor manager, heavy work load.","brand name and people know you can work in apple.","May 11, 2021","Current"
"Apple","Senior Software Engineer","Not all its cracked up to be","Politics, Politics, and more Politics","Personal and Friends discount on products","Apr 4, 2021","Current"
"Apple","Reliability Engineer","depends on your team","tech bros debating culture rules","great products we all love","Mar 7, 2021","Former"
"Apple","Senior Developer","Worst Company who acts they care about people","Everything about it is really bad. Its a bad greedy company","Nothing, nothing, nothing, nothing, nothing","Feb 11, 2021","Current"
